BPM,RMSSD,Propofol_Level
72.0,12.346183831789212,0.0
72.0,12.346183831789212,0.0
73.0,12.520865154173029,0.0
73.0,12.313741398693036,0.0
74.0,12.479599543447346,0.0
75.0,12.634721131874691,0.0
73.0,13.253269603071999,0.0
72.0,13.223052869790154,0.0
72.0,13.038059412559933,0.0
73.0,13.203590505847027,0.0
75.0,13.79665826704297,0.0
75.0,13.79665826704297,0.0
77.0,14.137970155362908,0.0
82.0,16.440040413341986,0.0
85.0,17.10280594735222,0.0
86.0,17.1683318185443,0.0
83.0,17.774936234886944,0.0
83.0,17.774936234886944,0.0
80.0,18.45112402713134,0.0
78.0,17.71009020658352,0.0
78.0,17.71009020658352,0.0
76.0,17.983623543071968,0.0
76.0,16.922580310497402,0.0
76.0,16.354730305607017,0.0
76.0,16.354730305607017,0.0
75.0,16.467259663291827,0.0
75.0,16.467259663291827,0.0
75.0,16.31908413074873,0.0
75.0,16.16955079507876,0.0
76.0,15.692395909091632,0.0
74.0,16.16870476109728,0.0
74.0,16.16870476109728,0.0
73.0,16.16154021687919,0.0
75.0,16.649575348136505,0.0
75.0,16.525621977473353,0.0
75.0,16.407327888078562,0.0
75.0,15.911864483317133,0.0
73.0,16.27441548647046,0.0
74.0,16.400267587975325,0.0
73.0,16.393204247110063,0.0
73.0,15.89730066382328,0.0
72.0,16.03333955845279,0.0
71.0,15.724739218906118,0.0
72.0,13.28941540123353,0.0
71.0,12.608311546762373,0.0
71.0,12.51894060619217,0.0
70.0,11.848428888698022,0.0
70.0,11.848428888698022,0.0
70.0,10.765205405390432,0.0
70.0,10.176552723874469,0.0
70.0,10.176552723874469,0.0
70.0,9.48172090987498,0.0
70.0,9.48172090987498,0.0
71.0,9.734534676325486,0.0
71.0,9.734534676325486,0.0
71.0,9.54294126123838,0.0
70.0,9.794174894664117,0.0
70.0,9.794174894664117,0.0
72.0,10.715520652929685,0.0
72.0,10.541771455226359,0.0
72.0,9.795571506061863,0.001
72.0,9.795571506061863,0.013
71.0,9.82003281224629,0.033
73.0,9.914042542910698,0.066
73.0,9.914042542910698,0.116
75.0,10.691174707866043,0.182
76.0,10.862534422649807,0.256
76.0,10.09859777354166,0.338
76.0,9.892901468267846,0.429
80.0,12.070476576133345,0.526
82.0,12.523995228843955,0.638
81.0,12.459001419032601,0.755
79.0,12.74194363645846,0.882
76.0,13.701285488956358,1.022
77.0,13.661526589532754,1.154
78.0,13.782741825153346,1.301
78.0,13.605360644503639,1.423
78.0,13.605360644503639,1.571
76.0,14.098405306843924,1.753
77.0,14.222134781277262,1.863
78.0,14.3386115506048,2.031
79.0,14.4483966523053,2.171
79.0,14.4483966523053,2.118
79.0,14.27928681239102,2.428
77.0,14.726506591474886,2.546
77.0,14.726506591474886,2.657
78.0,14.67441739556468,2.762
82.0,16.194818181297773,2.861
84.0,15.92145477229526,2.954
83.0,15.998793763150202,3.042
83.0,15.998793763150202,3.124
86.0,16.648067233119587,3.201
89.0,17.058761824366645,3.273
88.0,16.58582195733473,3.341
85.0,17.157863008865814,3.409
82.0,17.338117787695506,3.463
81.0,17.310024836460148,3.517
80.0,17.39237669205365,3.568
80.0,17.39237669205365,3.615
80.0,15.828950822882701,3.662
79.0,15.569391345159385,3.699
79.0,15.481791821062659,3.736
78.0,15.20275799006737,3.77
77.0,14.30001457053556,3.801
75.0,14.675792513692333,3.83
75.0,14.56201299417862,3.854
74.0,14.695169129957526,3.877
74.0,14.695169129957526,3.897
73.0,14.366662081358518,3.915
72.0,14.395857140852163,3.931
73.0,14.431141616592718,3.945
73.0,14.321224240090114,3.956
73.0,14.321224240090114,3.966
72.0,14.472085984252432,3.973
72.0,14.016750986493502,3.979
72.0,14.016750986493502,3.984
70.0,14.561564673864527,3.987
69.0,13.047965078900054,3.99
69.0,12.654338606310132,3.991
68.0,12.771627336538009,3.992
67.0,12.995983892369564,3.992
67.0,12.153141841025016,3.992
66.0,11.636169165192774,3.992
66.0,11.551801834368701,3.993
66.0,10.683695642890859,3.993
65.0,9.921219925368845,3.993
65.0,9.783176168276563,3.993
64.0,9.989340250493859,3.993
64.0,9.989340250493859,3.994
64.0,9.989340250493859,3.994
64.0,9.83781501236577,3.994
64.0,9.83781501236577,3.995
63.0,10.050058360270377,3.995
64.0,10.249803072890735,3.996
64.0,9.521864749346646,3.996
64.0,9.521864749346646,3.997
63.0,9.703174142513438,3.997
63.0,9.703174142513438,3.998
63.0,9.488909890446685,3.998
63.0,9.257191901887197,3.998
63.0,9.01952287583522,3.999
62.0,9.445480293863877,3.999
62.0,9.445480293863877,3.999
63.0,9.630087956772554,4.0
63.0,9.630087956772554,4.0
63.0,9.630087956772554,4.0
63.0,8.593141047316868,4.0
63.0,8.288439906519462,4.001
63.0,8.288439906519462,4.001
64.0,8.40409605279955,4.001
64.0,8.052806837206315,4.001
64.0,8.052806837206315,4.001
64.0,7.662304386299254,4.001
63.0,8.129720902886003,4.001
63.0,8.129720902886003,4.001
63.0,7.718294323277792,4.001
63.0,7.718294323277792,4.001
63.0,7.25519657905395,4.001
63.0,7.25519657905395,4.001
62.0,7.778379167588331,4.001
62.0,7.778379167588331,4.002
63.0,8.268523903867493,4.002
62.0,8.297730965291855,4.002
63.0,8.326835581173585,4.002
63.0,8.326835581173585,4.002
63.0,8.326835581173585,4.002
64.0,8.326835581173585,4.002
64.0,8.326835581173585,4.002
64.0,8.326835581173585,4.002
65.0,8.733291513279772,4.002
65.0,8.733291513279772,4.002
66.0,8.655944216545524,4.002
66.0,8.655944216545524,4.002
66.0,8.189021016329848,4.002
66.0,8.189021016329848,3.999
66.0,8.189021016329848,3.996
65.0,8.577899504189318,3.991
64.0,8.972990012476187,3.987
63.0,9.375286833719715,3.981
63.0,8.972990012476187,3.973
64.0,9.375286833719715,3.962
64.0,9.375286833719715,3.952
64.0,9.375286833719715,3.945
65.0,9.351403083175457,3.934
65.0,9.351403083175457,3.922
65.0,9.351403083175457,3.906
64.0,9.715087723950283,3.892
65.0,10.065640533223682,3.883
65.0,10.065640533223682,3.869
66.0,9.998605351152678,3.854
67.0,10.30091735803928,3.833
67.0,9.911790622440476,3.817
69.0,10.622495707667175,3.806
70.0,10.493614580326897,3.789
71.0,10.72259674296633,3.772
71.0,10.72259674296633,3.748
71.0,10.372686607709273,3.727
72.0,10.59172451944906,3.709
72.0,10.59172451944906,3.69
71.0,10.480574376913678,3.671
70.0,10.709835349894155,3.653
68.0,11.37388329246947,3.632
65.0,13.588470261506686,3.618
65.0,13.588470261506686,3.601
59.0,21.87189651999078,3.587
55.0,25.704385239336624,3.577
53.0,26.65866012857875,3.571
52.0,26.824407254674163,3.568
53.0,26.980849239556246,3.565
63.0,42.47708575490237,3.563
72.0,47.6375161959613,3.561
76.0,48.30585010027583,3.559
80.0,48.84049791674293,3.558
81.0,48.79874848861156,3.557
81.0,48.79874848861156,3.555
81.0,48.79874848861156,3.554
81.0,48.727647841802735,3.552
80.0,48.685801641691604,3.55
80.0,48.685801641691604,3.546
80.0,48.61879252712948,3.542
90.0,50.88350971856498,3.536
99.0,52.07271958911788,3.53
98.0,51.868910114748914,3.523
98.0,51.81930141864906,3.515
84.0,55.02235516031551,3.508
77.0,56.28509247078831,3.497
77.0,56.28509247078831,3.487
77.0,56.24428534181089,3.476
77.0,56.24428534181089,3.465
77.0,56.20344858437866,3.456
77.0,56.16021277403669,3.441
77.0,55.97128331741305,3.428
77.0,55.47524901522286,3.415
76.0,55.50682245311612,3.401
75.0,52.829607635847154,3.391
75.0,51.074767545300865,3.373
75.0,50.51873757121798,3.358
74.0,50.40079130858417,3.343
74.0,50.243814643773675,3.142
73.0,38.10795847257031,3.316
74.0,31.36745268485156,3.296
73.0,30.395839532368274,3.279
73.0,29.5291039151619,3.263
73.0,29.48067453219153,3.246
72.0,29.55425485228239,3.234
72.0,29.55425485228239,3.213
72.0,29.55425485228239,3.201
73.0,29.579384403920315,3.19
73.0,29.579384403920315,3.183
73.0,29.579384403920315,3.179
73.0,25.36648611421363,3.175
72.0,22.92086086201039,3.173
72.0,22.893034416177194,3.171
71.0,22.99310821995192,3.168
70.0,13.655162311130791,3.166
70.0,6.775794468992928,3.165
70.0,6.775794468992928,3.163
70.0,6.775794468992928,3.161
70.0,6.775794468992928,3.159
70.0,6.775794468992928,3.157
70.0,6.775794468992928,3.155
71.0,7.125273653541882,3.152
71.0,7.125273653541882,3.15
71.0,6.8749864797748215,3.149
71.0,6.600909153135591,3.147
71.0,6.600909153135591,3.145
71.0,6.600909153135591,3.143
71.0,6.298906915689383,3.142
71.0,6.298906915689383,3.14
71.0,5.9635602454905285,3.139
71.0,5.60819697145799,3.137
71.0,5.228737490039646,3.136
71.0,5.228737490039646,3.135
71.0,5.228737490039646,3.133
71.0,4.795402667044244,3.132
71.0,4.795402667044244,3.131
71.0,4.795402667044244,3.13
71.0,4.318805128556278,3.129
70.0,4.848732998450928,3.128
70.0,4.848732998450928,3.127
70.0,4.848732998450928,3.126
70.0,4.377945030447035,3.125
70.0,4.377945030447035,3.125
70.0,3.8176434950724185,3.124
70.0,3.117092860927604,3.123
70.0,3.117092860927604,3.122
70.0,3.117092860927604,3.122
69.0,3.8548806568742813,3.121
69.0,3.8548806568742813,3.12
69.0,3.8548806568742813,3.12
68.0,4.506768681502048,3.119
72.0,9.774987491167135,3.118
72.0,9.774987491167135,3.118
72.0,9.774987491167135,3.117
72.0,9.774987491167135,3.117
72.0,9.774987491167135,3.116
68.0,13.25322341576581,3.116
68.0,13.25322341576581,3.115
68.0,13.25322341576581,3.115
68.0,13.25322341576581,3.114
68.0,13.25322341576581,3.114
68.0,13.25322341576581,3.114
68.0,13.25322341576581,3.113
67.0,13.469560624442334,3.113
67.0,13.469560624442334,3.113
68.0,13.682477696778884,3.112
67.0,13.892131889316909,3.112
68.0,14.0986687647274,3.111
68.0,13.925312455585228,3.111
68.0,13.925312455585228,3.111
68.0,13.925312455585228,3.11
68.0,13.925312455585228,3.11
69.0,14.119673723408106,3.11
68.0,14.311395638627475,3.109
68.0,14.311395638627475,3.109
67.0,14.511966704504587,3.109
67.0,14.511966704504587,3.109
67.0,14.333643662989257,3.108
68.0,14.533907704567149,3.108
68.0,14.533907704567149,3.108
68.0,14.345159953623803,3.108
69.0,11.451503076415216,3.108
69.0,11.451503076415216,3.107
69.0,11.451503076415216,3.107
69.0,11.451503076415216,3.107
69.0,11.451503076415216,3.107
69.0,7.144184505835356,3.107
69.0,7.144184505835356,3.107
68.0,7.515998358384746,3.107
68.0,7.515998358384746,3.106
68.0,7.515998358384746,3.106
68.0,7.515998358384746,3.106
68.0,7.515998358384746,3.106
69.0,7.4939947882115705,3.106
69.0,7.4939947882115705,3.106
69.0,7.097804264589012,3.106
68.0,7.074500119507948,3.106
69.0,7.0511189539971575,3.105
69.0,7.0511189539971575,3.105
69.0,7.0511189539971575,3.105
69.0,7.0511189539971575,3.105
69.0,7.0511189539971575,3.105
69.0,6.653376543800429,3.105
68.0,6.653376543800429,3.105
68.0,6.653376543800429,3.105
68.0,6.203731693607447,3.105
68.0,6.203731693607447,3.104
68.0,6.203731693607447,3.104
68.0,5.718842052281678,3.104
68.0,5.718842052281678,3.104
68.0,5.718842052281678,3.104
68.0,5.220564658073022,3.104
68.0,5.220564658073022,3.104
68.0,5.220564658073022,3.104
68.0,5.220564658073022,3.104
69.0,5.718842052281678,3.104
69.0,5.718842052281678,3.104
69.0,5.718842052281678,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
68.0,5.718842052281678,3.103
68.0,5.718842052281678,3.103
68.0,5.220564658073022,3.103
68.0,5.220564658073022,3.103
68.0,5.220564658073022,3.103
68.0,4.66941498255369,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,3.3017749983377787,3.103
68.0,3.3017749983377787,3.103
68.0,3.3017749983377787,3.104
68.0,3.3017749983377787,3.104
69.0,4.043831995703167,3.104
68.0,4.66941498255369,3.104
68.0,4.66941498255369,3.104
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,4.66941498255369,3.103
69.0,4.66941498255369,3.103
69.0,4.66941498255369,3.103
68.0,5.220564658073022,3.103
68.0,5.220564658073022,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
67.0,5.252101368654369,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
67.0,6.256743066585804,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.283081030734008,3.103
68.0,5.833202222531404,3.103
68.0,5.833202222531404,3.103
68.0,5.345595298853168,3.103
68.0,5.345595298853168,3.103
68.0,5.345595298853168,3.103
67.0,5.861443645250316,3.103
67.0,5.861443645250316,3.103
67.0,5.861443645250316,3.103
67.0,5.861443645250316,3.103
67.0,5.861443645250316,3.103
67.0,5.376398658639545,3.103
67.0,5.376398658639545,3.103
67.0,5.376398658639545,3.103
66.0,5.919666543453025,3.103
66.0,5.409373298114382,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
68.0,5.949630990860598,3.103
67.0,6.417105378185173,3.103
67.0,6.417105378185173,3.103
67.0,5.949630990860598,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
67.0,5.442148143893608,3.103
68.0,5.949630990860598,3.103
68.0,5.949630990860598,3.103
68.0,5.949630990860598,3.103
68.0,5.949630990860598,3.103
68.0,5.442148143893608,3.103
68.0,5.442148143893608,3.103
68.0,5.442148143893608,3.103
68.0,5.442148143893608,3.103
68.0,5.442148143893608,3.103
67.0,5.949630990860598,3.103
67.0,5.949630990860598,3.103
67.0,5.949630990860598,3.103
67.0,5.409373298114382,3.103
67.0,5.409373298114382,3.103
67.0,4.808797149942683,3.103
67.0,4.808797149942683,3.103
68.0,5.376398658639545,3.103
67.0,5.889549646954792,3.103
67.0,5.889549646954792,3.102
67.0,5.376398658639545,3.102
66.0,5.409373298114382,3.102
66.0,5.409373298114382,3.102
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,5.409373298114382,3.103
66.0,4.845635868596468,3.103
66.0,4.845635868596468,3.103
66.0,4.845635868596468,3.103
65.0,5.477269545047794,3.103
65.0,5.477269545047794,3.103
65.0,5.477269545047794,3.103
65.0,5.477269545047794,3.103
66.0,6.043242206563254,3.103
66.0,6.043242206563254,3.103
65.0,6.104091951956713,3.103
65.0,6.104091951956713,3.103
65.0,6.104091951956713,3.103
65.0,6.104091951956713,3.103
65.0,6.104091951956713,3.103
65.0,6.104091951956713,3.103
65.0,6.104091951956713,3.103
65.0,5.610597655385609,3.103
66.0,5.6760874060724,3.103
66.0,5.6760874060724,3.103
66.0,5.6760874060724,3.103
66.0,5.106973545292526,3.103
65.0,5.709770003283594,3.103
65.0,5.709770003283594,3.103
65.0,5.709770003283594,3.103
65.0,5.709770003283594,3.103
64.0,6.28773912868713,3.103
64.0,6.28773912868713,3.103
64.0,6.28773912868713,3.103
64.0,6.28773912868713,3.103
64.0,6.28773912868713,3.103
64.0,6.28773912868713,3.103
64.0,6.28773912868713,3.102
65.0,6.816880020247475,3.102
65.0,6.320566312631313,3.102
65.0,6.320566312631313,3.102
65.0,6.320566312631313,3.102
65.0,6.320566312631313,3.102
65.0,5.781804546531331,3.102
65.0,5.781804546531331,3.102
66.0,5.781804546531331,3.102
66.0,5.781804546531331,3.102
66.0,5.781804546531331,3.102
66.0,5.781804546531331,3.102
65.0,6.320566312631313,3.102
65.0,6.320566312631313,3.102
65.0,6.320566312631313,3.102
65.0,6.320566312631313,3.102
65.0,5.781804546531331,3.102
65.0,5.781804546531331,3.102
64.0,6.353223880386745,3.102
64.0,6.353223880386745,3.102
64.0,5.817487342163881,3.102
64.0,5.817487342163881,3.102
64.0,5.817487342163881,3.102
64.0,5.817487342163881,3.102
64.0,5.187385576204157,3.102
65.0,5.817487342163881,3.102
65.0,5.817487342163881,3.102
66.0,6.353223880386745,3.102
66.0,6.353223880386745,3.102
67.0,6.819108675140204,3.102
68.0,7.230586119444026,3.102
68.0,6.734031910428594,3.103
68.0,6.734031910428594,3.103
69.0,7.127274713415696,3.103
69.0,7.127274713415696,3.103
69.0,7.127274713415696,3.103
69.0,7.127274713415696,3.103
69.0,7.127274713415696,3.102
70.0,7.0300488702080175,3.102
69.0,7.3868412797765375,3.103
69.0,7.3868412797765375,3.103
69.0,7.3868412797765375,3.103
69.0,6.931459398606562,3.103
69.0,6.931459398606562,3.103
69.0,6.931459398606562,3.102
69.0,6.931459398606562,3.102
69.0,6.931459398606562,3.102
69.0,6.931459398606562,3.102
69.0,6.411781307445319,3.102
69.0,6.411781307445319,3.102
69.0,6.411781307445319,3.102
69.0,6.411781307445319,3.102
69.0,6.411781307445319,3.102
69.0,6.411781307445319,3.103
69.0,6.411781307445319,3.103
69.0,5.846088408027984,3.103
69.0,5.846088408027984,3.103
69.0,5.2589404804009465,3.103
69.0,5.2589404804009465,3.103
69.0,4.6389293514068255,3.103
69.0,3.967181999860799,3.103
69.0,3.967181999860799,3.103
69.0,3.967181999860799,3.103
68.0,3.967181999860799,3.103
68.0,3.967181999860799,3.103
68.0,3.967181999860799,3.103
68.0,3.967181999860799,3.103
68.0,3.967181999860799,3.103
68.0,3.2549494688738063,3.103
68.0,2.334707491276845,3.103
68.0,2.334707491276845,3.103
68.0,2.334707491276845,3.103
68.0,2.334707491276845,3.103
69.0,3.3017749983377787,3.103
69.0,3.3017749983377787,3.103
70.0,4.005690341844473,3.103
70.0,4.005690341844473,3.103
70.0,4.005690341844473,3.103
71.0,4.572055234417998,3.103
71.0,4.572055234417998,3.103
71.0,4.572055234417998,3.103
71.0,4.572055234417998,3.103
71.0,4.572055234417998,3.103
71.0,4.572055234417998,3.103
71.0,4.572055234417998,3.103
72.0,5.0493256877246635,3.103
73.0,5.462554246995373,3.103
74.0,5.8268067097074425,3.103
75.0,6.152028100368313,3.103
76.0,6.445222044030658,3.103
77.0,6.711555165356999,3.103
78.0,6.954972048826018,3.103
79.0,7.178580696987448,3.103
81.0,7.60286616104161,3.103
81.0,7.60286616104161,3.103
82.0,7.7796942568916485,3.103
